N       Gauss   PLU     Chol    Jac     QR      SVD     Jac_E   QR_E    SVD_E
3       4       8       1       5       2       7       3       0       6
4       4       4       2       9       3       12      5       0       9
5       4       6       3       15      4       16      9       0       13
6       4       6       3       20      5       22      15      1       18
7       5       7       5       38      7       31      25      0       23
8       6       8       5       40      8       40      34      0       29
9       7       10      7       54      9       51      45      0       37
10      8       12      9       74      12      63      62      1       45
11      10      13      10      95      14      80      82      0       56
12      12      16      12      121     17      96      105     1       65
13      15      18      16      146     20      119     128     0       84
14      16      21      18      176     23      140     155     1       91
15      20      24      21      227     27      168     197     0       107
16      22      27      24      261     31      194     254     0       126
17      25      31      28      308     36      341     401     1       216
18      28      34      31      361     41      262     315     0       157
19      32      38      35      419     47      304     373     1       185
20      42      44      69      588     53      344     427     0       207
21      42      49      47      540     61      393     481     1       230
22      47      53      51      613     68      439     516     1       135
23      28      30      31      368     39      264     471     0       152
24      31      35      34      411     43      289     365     0       166
25      35      37      37      449     49      325     398     0       185
26      44      42      41      527     54      358     455     0       199
27      42      45      45      569     59      399     505     0       237
28      54      49      49      635     65      458     591     0       285
29      121     106     102     827     72      484     622     0       263
30      66      59      58      766     79      526     694     0       283
31      61      66      64      840     87      594     745     0       314
32      75      73      75      955     100     882     1011    0       347
33      94      82      79      1072    107     727     953     0       387
34      85      85      85      1170    114     775     996     0       387
35      92      92      89      1484    118     810     1059    1       442
36      109     96      95      1403    133     880     1144    1       466
37      103     101     102     1443    138     1169    1259    0       482
38      127     110     111     1553    152     1021    1387    0       512
39      135     116     118     1657    165     1444    1425    0       551
40      125     124     127     1742    171     1176    1558    0       584
41      273     211     216     2224    191     1288    1755    0       669
42      176     147     151     2080    205     1686    1954    0       675
43      153     152     155     2317    210     1464    1992    0       724
44      381     162     165     2302    223     1521    2059    1       764
45      214     169     175     2768    237     1640    2152    0       820
46      192     182     194     2652    252     2091    2287    1       830
47      199     192     199     2834    267     2374    2593    0       1093
48      272     212     217     3154    319     2181    2706    0       969
49      230     215     222     3166    341     2443    2796    0       1035
50      248     237     247     3501    618     2380    2987    0       1061
60      484     400     398     6205    538     3699    5426    0       1761
70      909     644     635     9368    877     6357    8393    0       2776
80      1442    957     925     13864   1363    9190    12075   0       3801
90      2168    1356    1270    19550   1960    12750   16915   0       5687
100     2687    1878    1733    26857   2590    17460   22887   0       7547
120     5259    3433    2975    44936   4484    28524   39240   0       12175
140     8211    5359    4923    69846   7250    46866   61989   1       19937
160     19301   8573    7266    106297  11253   74672   92179   0       28228
180     21937   11511   10093   150792  15935   103452  138161  0       41000
200     34558   16298   14254   214335  22999   150662  186579  0       54188
220     46075   20472   18399   283907  29667   196966  250541  0       70689
240     64895   26760   24260   376220  38961   257698  333611  1       91062
260     82787   34372   31008   477772  48766   326447  424641  0       115352
280     104918  42400   38781   597098  61042   408539  529124  0       142626
300     128453  52549   47448   735687  75956   506567  649735  1       173426
320     185874  85380   67711   920409  95618   624455  805724  1       209881
340     192394  77717   70259   1086435 110073  743253  958340  1       251905
