% Remarks: the following shows that Cholesky method improved by a factor of 5 while SVD methods improved by a factor of 2. The rest remained essentially unchanged.
% N Gauss PLU Chol Jac QR SVD Jac_E QR_E SVD_E
3 8 11 7 16 12 24 11 2 18
4 8 12 10 26 18 36 18 3 29
5 9 13 12 43 21 51 32 3 40
6 10 16 14 74 27 75 51 3 55
7 13 18 19 102 36 103 82 3 74
8 15 20 22 139 49 172 112 2 96
9 18 25 27 241 74 181 155 3 124
10 21 30 31 252 85 239 208 3 151
11 24 34 36 326 123 283 272 3 183
12 28 39 43 455 144 352 358 3 218
13 33 45 49 499 192 427 421 3 258
14 37 51 56 646 238 514 513 3 303
15 44 58 63 766 406 675 652 3 354
16 53 68 74 1101 372 768 776 3 407
17 59 77 82 1071 450 883 912 3 465
18 67 86 92 1172 239 435 469 2 236
19 35 43 46 654 292 499 573 2 266
20 38 47 51 753 345 566 636 2 302
21 44 55 56 869 410 650 720 2 338
22 51 60 63 965 495 736 750 2 335
23 54 68 62 1029 515 793 886 1 371
24 60 74 69 1109 625 854 959 2 411
25 66 78 75 1302 736 961 1012 1 452
26 74 84 83 1567 758 1027 1176 2 497
27 81 97 89 1680 914 1218 1324 2 549
28 94 93 98 1846 1005 1290 1465 2 627
29 104 102 106 1888 1330 1456 1782 2 724
30 110 124 128 2337 1412 1693 1972 1 742
31 120 125 127 2319 1435 1672 1939 2 757
32 124 154 151 2604 1617 1925 2152 2 865
33 150 164 164 2827 1853 2009 2520 2 985
34 148 182 172 3379 2064 2198 2587 2 952
35 159 164 208 3267 2358 2327 2874 2 1152
36 180 184 177 3784 2535 2648 2968 2 1129
37 169 188 190 3876 2819 2729 3462 2 1276
38 207 232 216 4345 3126 3147 3807 2 1336
39 211 219 215 4456 3355 3217 3908 2 1461
40 224 274 269 5011 3703 3769 4106 2 1466
41 236 243 243 5397 4100 4029 4338 2 1605
42 253 262 257 5503 4517 4267 4637 1 1816
43 270 302 297 5975 4884 4497 5046 2 1718
44 287 331 315 6466 5606 4505 5471 2 1844
45 311 325 307 6865 5986 4938 5595 2 1989
46 320 382 344 7282 6651 5069 5949 2 2066
47 381 378 342 7714 7218 5575 6519 1 2194
48 364 390 363 8315 7874 5863 6853 1 2404
49 386 407 448 8641 8244 6011 7209 2 2387
50 400 428 401 9402 8950 6451 7659 1 2571
60 734 758 641 16455 17446 10794 13172 1 4184
70 1117 1175 999 25773 34771 17769 20895 1 6220
80 2168 1659 1436 37808 54502 24944 30751 1 9114
90 2410 2332 1969 53277 84781 42060 48860 1 14489
100 3634 3545 2906 80450 127759 47883 58944 2 16595
120 6015 5373 4699 122633 264028 81298 109452 2 29523
140 12021 9192 7451 200032 487613 127190 158836 2 41033
160 36265 15810 11673 296394 1170052 188317 237910 1 59769
180 36331 17128 14557 412496 1298647 265630 338390 2 82880
200 57413 23871 19736 565101 1971026 364087 469661 2 111042
220 78009 31083 25053 769925 3519822 499189 665692 2 153678
240 166969 53119 35095 1066576 5287131 732899 891446 2 189471
260 182300 51740 43006 1485366 7206783 899293 1043779 2 238729
280 221381 67416 55290 1657615 8671466 1035673 1324275 2 302926
300 265259 80283 64807 2135832 12012499 1363614 1642659 2 376529
